season,country,team,ranking
2015,Spain,Real Madrid,2
2015,Spain,Atletico Madrid,3
2015,Spain,Villarreal,4
2015,Spain,Athletic Bilbao,5
2015,Spain,Celta Vigo,6
2015,Spain,Sevilla,7
2015,Spain,Malaga,8
2015,Spain,Real Sociedad,9
2015,Spain,Real Betis,10
2015,Spain,Las Palmas,11
2015,Spain,Valencia,12
2015,Spain,Espanyol,13
2015,Spain,Eibar,14
2015,Spain,Deportivo La Coruna,15
2015,Spain,Granada,16
2015,Spain,Sporting Gijon,17
2015,Spain,Rayo Vallecano,18
2015,Spain,Getafe,19
2015,Spain,Levante,20
2011,Scotland,Celtic,1
2011,Scotland,Rangers *,2
2011,Scotland,Motherwell,3
2011,Scotland,Dundee United,4
2011,Scotland,Hearts,5
2011,Scotland,St Johnstone,6
2011,Scotland,Kilmarnock,7
2011,Scotland,St Mirren,8
2011,Scotland,Aberdeen,9
2011,Scotland,Inverness CT,10
2011,Scotland,Hibernian,11
2011,Scotland,Dunfermline Athletic,12
2012,Scotland,Celtic,1
2012,Scotland,Motherwell,2
2012,Scotland,St Johnstone,3
2012,Scotland,Inverness CT,4
2012,Scotland,Ross County,5
2012,Scotland,Dundee United,6
2012,Scotland,Hibernian,7
2012,Scotland,Aberdeen,8
2012,Scotland,Kilmarnock,9
2012,Scotland,Hearts,10
2012,Scotland,St Mirren,11
2012,Scotland,Dundee,12
2013,Scotland,Celtic,1
2013,Scotland,Motherwell,2
2013,Scotland,Aberdeen,3
2013,Scotland,Dundee United,4
2013,Scotland,Inverness CT,5
2013,Scotland,St Johnstone,6
2013,Scotland,Ross County,7
2013,Scotland,St Mirren,8
2013,Scotland,Kilmarnock,9
2013,Scotland,Partick Thistle,10
2013,Scotland,Hibernian,11
2013,Scotland,Hearts *,12
2014,Scotland,Celtic,1
2014,Scotland,Aberdeen,2
2014,Scotland,Inverness CT,3
2014,Scotland,St Johnstone,4
2014,Scotland,Dundee United,5
2014,Scotland,Dundee,6
2014,Scotland,Hamilton Academical,7
2014,Scotland,Partick Thistle,8
2014,Scotland,Ross County,9
2014,Scotland,Kilmarnock,10
2014,Scotland,Motherwell,11
2014,Scotland,St Mirren,12
2015,Scotland,Celtic,1
2015,Scotland,Aberdeen,2
2015,Scotland,Hearts,3
2015,Scotland,St Johnstone,4
2015,Scotland,Motherwell,5
2015,Scotland,Ross County,6
2015,Scotland,Inverness CT,7
2015,Scotland,Dundee,8
2015,Scotland,Partick Thistle,9
2015,Scotland,Hamilton Academical,10
2015,Scotland,Kilmarnock,11
2015,Scotland,Dundee United *,12
